gene_id	gene_name	population	time_condition	mean_normalized_count	sem_normalized_count	n_samples	plot_expression
ENSMUSG00000092412	Gm20507	CD103+Tom+ LP Trm	Baseline	3.721000873630647	1.2380419545237598	3	4.721000873630647
ENSMUSG00000092412	Gm20507	CD103+Tom+ LP Trm	Infected	6.767574235059256	5.110137432601943	3	7.767574235059256
ENSMUSG00000092412	Gm20507	CD103-Tom- LP Trm	Baseline	17.39465489799738	13.840261420830185	2	18.39465489799738
ENSMUSG00000092412	Gm20507	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092604	Gm20508	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000092604	Gm20508	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092604	Gm20508	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000092604	Gm20508	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092310	Gm20509	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000092310	Gm20509	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092310	Gm20509	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000092310	Gm20509	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092371	Gm20511	CD103+Tom+ LP Trm	Baseline	1.9306730906068268	1.6577075052711567	3	2.9306730906068266
ENSMUSG00000092371	Gm20511	CD103+Tom+ LP Trm	Infected	3.640846442792073	2.3765679175514665	3	4.640846442792073
ENSMUSG00000092371	Gm20511	CD103-Tom- LP Trm	Baseline	3.9986926618130965	3.9986926618130965	2	4.998692661813097
ENSMUSG00000092371	Gm20511	CD103-Tom- LP Trm	Infected	138.56051790905204	138.56051790905207	3	139.56051790905204
ENSMUSG00000092381	Gm20512	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000092381	Gm20512	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092381	Gm20512	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000092381	Gm20512	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092415	Gm20513	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000092415	Gm20513	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092415	Gm20513	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000092415	Gm20513	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092242	Gm20515	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000092242	Gm20515	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092242	Gm20515	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000092242	Gm20515	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000023984	Gm20517	CD103+Tom+ LP Trm	Baseline	18.026605403588015	5.889171890461786	3	19.026605403588015
ENSMUSG00000023984	Gm20517	CD103+Tom+ LP Trm	Infected	5.160951128071769	5.160951128071769	3	6.160951128071769
ENSMUSG00000023984	Gm20517	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000023984	Gm20517	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092470	Gm20518	CD103+Tom+ LP Trm	Baseline	2.5585293369536717	2.558529336953672	3	3.5585293369536717
ENSMUSG00000092470	Gm20518	CD103+Tom+ LP Trm	Infected	0.5594630796861126	0.5594630796861126	3	1.5594630796861126
ENSMUSG00000092470	Gm20518	CD103-Tom- LP Trm	Baseline	0.44429918464589957	0.4442991846458995	2	1.4442991846458995
ENSMUSG00000092470	Gm20518	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092261	Gm20519	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000092261	Gm20519	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092261	Gm20519	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000092261	Gm20519	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092232	Gm20521	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000092232	Gm20521	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092232	Gm20521	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000092232	Gm20521	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092241	Gm20522	CD103+Tom+ LP Trm	Baseline	1.2472294757553415	0.6604148348103028	3	2.2472294757553417
